NAME,NEWS10.31
北京,362
天津,6
重庆,11
河北,6
山西,2
辽宁,11
吉林,22
黑龙江,10
江苏,22
上海,66
安徽,42
浙江,26
福建,21
江西,8
山东,6
河南,99
湖北,13
湖南,16
广东,136
海南,10
四川,22
贵州,5
云南,6
陕西,0
甘肃,6
青海,1
内蒙古,2
宁夏,2
广西,10
西藏,13
新疆,7
香港,10
澳门,2
台湾,40
