NAME,NEWS11.02
北京,70
天津,3
重庆,1
河北,9
山西,4
辽宁,4
吉林,8
黑龙江,2
江苏,10
上海,27
安徽,9
浙江,14
福建,12
江西,10
山东,1
河南,0
湖北,5
湖南,3
广东,22
海南,4
四川,15
贵州,9
云南,8
陕西,0
甘肃,5
青海,0
内蒙古,1
宁夏,1
广西,2
西藏,6
新疆,0
香港,3
澳门,0
台湾,14
