NAME,NEWS11.03
北京,472
天津,37
重庆,22
河北,18
山西,20
辽宁,42
吉林,49
黑龙江,14
江苏,96
上海,165
安徽,122
浙江,67
福建,58
江西,44
山东,25
河南,23
湖北,29
湖南,33
广东,216
海南,35
四川,80
贵州,39
云南,24
陕西,0
甘肃,8
青海,3
内蒙古,3
宁夏,8
广西,12
西藏,18
新疆,1
香港,31
澳门,0
台湾,64
