NAME,NEWS11.01
北京,159
天津,14
重庆,7
河北,9
山西,6
辽宁,16
吉林,13
黑龙江,3
江苏,16
上海,25
安徽,13
浙江,19
福建,17
江西,43
山东,2
河南,5
湖北,7
湖南,9
广东,34
海南,9
四川,22
贵州,32
云南,4
陕西,0
甘肃,6
青海,0
内蒙古,12
宁夏,0
广西,2
西藏,34
新疆,2
香港,0
澳门,0
台湾,2
