数据库：分省年度数据
指标：一级等级公路里程(万公里)
时间：最近10年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,0.13,0.12,0.11,0.10,0.09,0.09,0.08,0.08,0.06,0.06
天津市,0.13,0.13,0.11,0.11,0.10,0.07,0.06,0.05,0.05,0.05
河北省,0.51,0.48,0.47,0.43,0.40,0.36,0.33,0.29,0.28,0.26
山西省,0.25,0.22,0.21,0.21,0.19,0.15,0.14,0.13,0.11,0.10
内蒙古自治区,0.63,0.56,0.47,0.37,0.34,0.31,0.29,0.28,0.24,0.21
辽宁省,0.35,0.34,0.33,0.30,0.29,0.26,0.23,0.20,0.18,0.16
吉林省,0.20,0.19,0.19,0.19,0.19,0.20,0.19,0.19,0.17,0.15
黑龙江省,0.18,0.16,0.15,0.13,0.15,0.16,0.15,0.15,0.13,0.11
上海市,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.03,0.03,0.03
江苏省,1.20,1.13,1.05,0.99,0.95,0.85,0.74,0.65,0.52,0.42
浙江省,0.57,0.53,0.49,0.46,0.43,0.41,0.38,0.36,0.34,0.30
安徽省,0.26,0.23,0.18,0.06,0.05,0.05,0.04,0.04,0.03,0.03
福建省,0.08,0.07,0.07,0.07,0.06,0.06,0.05,0.04,0.04,0.04
江西省,0.19,0.16,0.15,0.14,0.14,0.13,0.12,0.09,0.08,0.06
山东省,0.98,0.95,0.91,0.87,0.81,0.76,0.70,0.64,0.59,0.49
河南省,0.18,0.16,0.10,0.06,0.06,0.06,0.05,0.05,0.01,0.01
湖北省,0.33,0.28,0.25,0.24,0.22,0.17,0.16,0.14,0.13,0.11
湖南省,0.12,0.11,0.11,0.10,0.08,0.08,0.07,0.06,0.06,0.05
广东省,1.08,1.06,1.05,1.03,1.01,1.00,0.91,0.90,0.89,0.73
广西壮族自治区,0.10,0.10,0.10,0.09,0.09,0.08,0.08,0.07,0.07,0.05
海南省,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02
重庆市,0.07,0.06,0.06,0.06,0.06,0.05,0.04,0.04,0.04,0.03
四川省,0.33,0.30,0.30,0.28,0.26,0.22,0.20,0.19,0.17,0.16
贵州省,0.04,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01
云南省,0.11,0.10,0.10,0.08,0.07,0.06,0.06,0.06,0.03,0.02
西藏自治区,,0.00,0.00,,,,,,0.00,
陕西省,0.12,0.10,0.10,0.08,0.08,0.08,0.07,0.06,0.05,0.04
甘肃省,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.01
青海省,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01
宁夏回族自治区,0.15,0.10,0.09,0.07,0.07,0.03,0.02,0.02,0.02,0.02
新疆维吾尔自治区,0.13,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.09
数据来源：国家统计局
