数据库：分省年度数据
指标：内河航道里程(万公里)
时间：最近10年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,,,,,,,,,0.00,
天津市,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
河北省,,,,,,,,,0.00,
山西省,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
内蒙古自治区,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
辽宁省,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
吉林省,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
黑龙江省,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51
上海市,0.22,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22
江苏省,2.44,2.43,2.43,2.43,2.42,2.42,2.36,2.43,2.43,2.43
浙江省,0.98,0.97,0.97,0.98,0.97,0.97,0.97,0.97,0.97,0.97
安徽省,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56
福建省,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32
江西省,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56
山东省,0.11,0.11,0.11,0.12,0.12,0.10,0.10,0.10,0.10,0.10
河南省,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
湖北省,0.84,0.83,0.83,0.83,0.83,0.82,0.82,0.82,0.82,0.82
湖南省,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15
广东省,1.22,1.21,1.21,1.19,1.18,1.18,1.18,1.18,1.18,1.18
广西壮族自治区,0.57,0.55,0.55,0.54,0.54,0.54,0.54,0.54,0.54,0.54
海南省,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
重庆市,0.43,0.43,0.43,0.43,0.43,0.43,0.42,0.42,0.42,0.41
四川省,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07
贵州省,0.37,0.36,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33
云南省,0.36,0.36,0.32,0.32,0.29,0.25,0.25,0.25,0.25,0.25
西藏自治区,,,,,,,,,,
陕西省,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
甘肃省,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
青海省,0.06,0.06,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03
宁夏回族自治区,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
新疆维吾尔自治区,,,,,,,,,,
注：2004年起内河航道里程为内河航道通航里程数。
数据来源：国家统计局
