数据库：分省年度数据
指标：民用轻型载货汽车拥有量(万辆)
时间：最近10年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,19.59,16.96,15.42,13.69,12.13,11.68,11.83,11.77,11.79,11.71
天津市,20.15,18.11,16.56,15.14,13.58,11.78,10.67,9.88,8.52,7.57
河北省,88.07,87.83,87.39,75.45,64.84,53.63,43.86,40.31,36.74,34.33
山西省,34.34,33.27,30.67,29.83,26.23,22.54,19.64,17.48,15.78,14.82
内蒙古自治区,34.67,32.46,28.94,24.97,20.71,16.91,13.58,11.35,9.45,7.76
辽宁省,52.96,48.26,51.21,46.86,41.09,34.17,27.63,25.56,26.42,24.09
吉林省,26.81,25.03,22.55,20.17,17.59,14.76,12.40,11.38,9.17,9.26
黑龙江省,35.72,33.68,30.76,27.02,23.34,18.95,14.71,12.97,11.49,10.85
上海市,6.54,6.32,6.73,7.82,7.96,7.94,7.83,7.72,7.49,7.09
江苏省,45.82,45.14,40.98,36.63,32.07,27.15,23.49,22.06,20.32,18.48
浙江省,88.32,88.02,81.16,73.60,65.48,56.48,49.58,45.89,41.53,36.75
安徽省,50.71,47.57,43.84,38.41,33.12,26.78,21.50,18.61,16.10,13.74
福建省,52.22,48.79,44.04,38.57,32.92,27.44,23.81,21.39,18.38,14.76
江西省,34.77,32.51,27.49,22.69,18.75,14.81,11.66,10.23,8.95,7.78
山东省,112.93,116.02,102.05,90.01,80.90,67.47,55.48,52.19,48.94,44.76
河南省,93.64,71.47,61.26,53.42,44.34,35.64,28.33,25.44,22.49,19.94
湖北省,48.83,46.38,41.10,35.94,31.42,25.88,20.46,17.44,15.09,13.59
湖南省,46.50,42.21,37.56,32.32,27.57,22.36,18.05,15.52,13.89,12.61
广东省,136.69,134.57,126.58,118.70,109.76,100.09,95.64,93.08,87.82,84.45
广西壮族自治区,36.21,33.33,28.63,23.94,19.68,15.61,12.41,10.37,8.49,7.38
海南省,10.54,9.68,8.55,7.41,6.14,4.89,4.28,3.89,3.48,3.11
重庆市,23.05,21.18,18.42,15.58,17.35,14.61,12.30,11.20,10.43,9.30
四川省,56.46,53.68,49.70,44.52,39.68,33.67,26.40,22.96,20.40,18.12
贵州省,35.23,30.50,26.12,21.81,19.62,16.06,12.53,10.45,8.56,7.21
云南省,60.46,56.63,50.05,43.67,37.50,31.48,25.54,22.42,19.37,17.06
西藏自治区,6.75,5.54,3.83,3.10,2.52,1.98,1.47,1.20,0.83,0.57
陕西省,31.89,29.20,25.04,20.86,17.02,12.83,9.79,8.28,7.12,6.42
甘肃省,30.18,26.91,22.51,18.64,15.22,11.50,8.79,7.74,6.83,6.18
青海省,10.25,9.32,8.04,6.71,5.43,4.21,3.28,2.63,2.23,1.95
宁夏回族自治区,16.77,14.66,12.26,9.90,7.81,5.91,4.58,3.93,3.53,3.37
新疆维吾尔自治区,38.71,34.79,30.19,24.70,20.13,16.12,13.44,11.90,10.55,9.50
注：从2002年起，载客汽车和载货汽车拥有量的其中分项、其他汽车拥有量统计口径有调整与以前年份不可比。
数据来源：国家统计局
