数据库：分省年度数据
指标：民用汽车拥有量(万辆)
时间：最近10年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,530.83,517.11,493.56,470.53,449.72,368.11,313.68,273.36,239.12,209.73
天津市,274.14,261.58,221.12,190.78,158.24,130.00,108.47,93.25,79.22,67.68
河北省,930.08,816.29,728.51,607.19,492.88,395.80,316.77,273.25,229.34,198.23
山西省,424.36,378.27,329.95,295.33,247.89,205.95,174.22,144.33,121.55,107.44
内蒙古自治区,342.14,306.87,266.08,233.15,187.80,150.06,121.07,99.77,83.79,65.82
辽宁省,520.04,457.05,414.88,356.75,296.32,242.07,194.98,171.36,159.22,134.87
吉林省,284.57,248.35,209.49,183.00,152.89,123.74,98.98,86.80,72.25,65.27
黑龙江省,322.78,289.81,259.87,231.10,194.79,160.17,126.21,108.10,94.00,85.90
上海市,255.03,234.91,212.66,194.75,175.51,147.11,132.12,119.70,107.04,95.16
江苏省,1095.45,944.35,802.20,675.18,550.80,436.81,349.51,296.31,240.80,192.25
浙江省,1012.05,901.99,773.56,656.80,542.05,431.73,352.84,301.61,248.36,202.92
安徽省,422.46,358.74,303.13,258.62,209.81,167.36,134.89,113.42,94.61,80.50
福建省,386.60,332.97,283.92,239.93,197.08,159.34,130.76,110.87,89.57,69.79
江西省,287.68,246.84,201.64,171.55,137.43,107.08,82.97,69.90,58.07,48.36
山东省,1350.25,1199.71,1027.16,851.12,705.89,553.51,426.31,359.59,299.23,246.96
河南省,969.28,700.69,581.95,501.28,399.73,316.07,249.04,210.32,183.38,152.17
湖北省,422.23,354.40,293.64,249.49,207.49,168.32,136.86,115.46,98.74,86.24
湖南省,434.48,366.74,308.14,258.22,211.06,167.59,134.04,109.83,91.76,78.34
广东省,1331.84,1177.37,1037.42,910.93,782.26,658.90,573.46,505.29,428.95,372.96
广西壮族自治区,316.53,276.29,227.44,187.75,152.06,119.85,94.89,79.64,66.14,59.14
海南省,75.11,64.80,55.46,47.81,39.24,30.64,25.81,22.11,19.23,16.40
重庆市,237.04,192.77,159.36,129.68,114.30,90.89,73.64,63.63,56.07,46.93
四川省,666.92,573.03,493.22,422.17,354.97,284.69,219.05,183.62,157.23,138.00
贵州省,244.72,201.00,164.36,136.37,115.76,91.43,71.92,60.05,49.36,46.77
云南省,429.74,374.01,328.53,280.04,233.91,189.10,153.57,133.23,114.72,103.60
西藏自治区,29.47,26.72,22.77,19.92,16.62,14.85,12.86,11.61,9.82,7.07
陕西省,384.88,336.08,284.64,236.43,190.64,146.27,111.66,91.13,75.70,63.21
甘肃省,185.31,156.38,129.14,105.59,85.04,65.75,50.57,43.04,37.26,33.74
青海省,68.84,58.84,49.13,39.85,30.99,24.35,20.25,15.60,13.34,12.18
宁夏回族自治区,91.05,79.23,66.35,53.35,41.52,31.54,24.35,20.09,16.86,15.63
新疆维吾尔自治区,272.21,236.96,203.82,161.66,127.14,101.53,83.86,72.10,62.63,56.42
数据来源：国家统计局
