数据库：分省年度数据
指标：制造业法人单位数(个)
时间：最近10年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,34084,33023,35495,35234,35314,,,,,
天津市,50541,44653,47162,44474,43003,,,,,
河北省,110020,93568,94883,89874,89205,,,,,
山西省,23769,21612,26189,24620,24367,,,,,
内蒙古自治区,17424,15438,18085,17807,17223,,,,,
辽宁省,91540,82972,93851,92284,89447,,,,,
吉林省,24865,19348,23580,22750,21597,,,,,
黑龙江省,27546,24466,31205,31252,30745,,,,,
上海市,81777,79599,92397,90046,86565,,,,,
江苏省,405636,346771,375128,349839,322605,,,,,
浙江省,417132,365388,324348,304763,276974,,,,,
安徽省,81904,71494,71928,65867,59271,,,,,
福建省,119932,86140,97279,88371,76980,,,,,
江西省,53806,44179,50775,43365,40899,,,,,
山东省,208334,183231,228076,220014,212151,,,,,
河南省,116185,100313,119630,117274,115632,,,,,
湖北省,76294,60233,71998,66246,61239,,,,,
湖南省,61075,59905,62901,60303,60339,,,,,
广东省,351166,300938,287010,265396,240121,,,,,
广西壮族自治区,28087,24216,27725,27108,24381,,,,,
海南省,3148,2661,2991,2826,2684,,,,,
重庆市,50578,42594,42225,37103,31729,,,,,
四川省,57888,48284,56827,54709,53436,,,,,
贵州省,26912,21692,14905,11444,10490,,,,,
云南省,20034,17148,17663,17252,16215,,,,,
西藏自治区,1148,981,394,375,355,,,,,
陕西省,35125,28282,32873,29676,27634,,,,,
甘肃省,15466,12677,13585,12468,12126,,,,,
青海省,4135,2997,3157,2771,2493,,,,,
宁夏回族自治区,5477,5040,5624,5155,4596,,,,,
新疆维吾尔自治区,15643,12382,10870,9649,8554,,,,,
数据来源：国家统计局
