数据库：分省年度数据
指标：批发和零售业法人单位数(个)
时间：最近10年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,197293,190705,121945,118485,116396,,,,,
天津市,80350,66138,64701,57462,51763,,,,,
河北省,131451,111227,91157,81073,72724,,,,,
山西省,62599,45404,53059,45514,39691,,,,,
内蒙古自治区,48765,39002,38712,35563,31565,,,,,
辽宁省,137479,115758,122551,95346,88875,,,,,
吉林省,36877,28095,29292,27609,25303,,,,,
黑龙江省,45135,39955,48109,46398,43777,,,,,
上海市,148697,145683,150676,139449,130212,,,,,
江苏省,392798,299067,303339,266216,224964,,,,,
浙江省,335289,253594,196797,165076,133480,,,,,
安徽省,107659,82267,74576,61007,46945,,,,,
福建省,155845,97491,100295,84609,66702,,,,,
江西省,63083,44458,46982,31922,25660,,,,,
山东省,310631,236206,252083,219046,194517,,,,,
河南省,118451,99916,67285,62431,58769,,,,,
湖北省,151599,119635,106428,91518,80274,,,,,
湖南省,90441,91397,63606,50020,40943,,,,,
广东省,354617,291131,285282,248484,205711,,,,,
广西壮族自治区,84623,64262,67375,54824,42383,,,,,
海南省,12427,10880,10842,9096,7622,,,,,
重庆市,104519,80603,70126,53381,37348,,,,,
四川省,71240,56653,63642,56426,51501,,,,,
贵州省,36267,28382,19843,17073,15592,,,,,
云南省,66547,41751,54080,48812,39075,,,,,
西藏自治区,2253,1913,1085,1027,923,,,,,
陕西省,70968,55337,61041,50921,40581,,,,,
甘肃省,31611,25811,24181,21209,19036,,,,,
青海省,8169,5312,5500,4576,4080,,,,,
宁夏回族自治区,12454,10963,11300,9941,8001,,,,,
新疆维吾尔自治区,43201,31535,24800,21781,20705,,,,,
数据来源：国家统计局
