数据库：分省年度数据
指标：教育业法人单位数(个)
时间：最近10年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,11260,11145,8304,8207,8192,,,,,
天津市,4254,3803,3467,3325,3233,,,,,
河北省,20277,19794,17885,18168,19003,,,,,
山西省,10345,10068,8990,8755,8762,,,,,
内蒙古自治区,6894,6488,5673,5557,5491,,,,,
辽宁省,14196,13308,13499,11481,11459,,,,,
吉林省,6313,5572,5251,5248,5258,,,,,
黑龙江省,8092,7719,7780,7737,7682,,,,,
上海市,5895,5708,5760,5615,5590,,,,,
江苏省,20279,17858,17764,16869,15415,,,,,
浙江省,22464,21049,17736,16742,16018,,,,,
安徽省,15349,14217,12597,13538,13065,,,,,
福建省,16174,13974,12618,12276,11898,,,,,
江西省,14149,13457,9436,8914,9741,,,,,
山东省,24931,24364,21213,20908,20774,,,,,
河南省,42309,40079,23071,22915,22900,,,,,
湖北省,19842,17774,17743,16753,16426,,,,,
湖南省,21751,21741,14873,14847,14810,,,,,
广东省,39650,36113,32611,31500,30779,,,,,
广西壮族自治区,20043,18301,17788,17497,17126,,,,,
海南省,3435,3110,2358,2156,2139,,,,,
重庆市,10854,10133,8815,8035,7761,,,,,
四川省,25604,23458,21254,19961,19749,,,,,
贵州省,11290,9880,9821,9650,9592,,,,,
云南省,10521,9890,8203,7962,7618,,,,,
西藏自治区,1042,791,1046,1045,1040,,,,,
陕西省,15706,14851,12248,13613,13871,,,,,
甘肃省,10410,9421,9225,9173,9123,,,,,
青海省,1876,1677,1320,1259,1236,,,,,
宁夏回族自治区,1867,1855,1425,1409,1391,,,,,
新疆维吾尔自治区,6966,6310,5298,5275,5266,,,,,
数据来源：国家统计局
