数据库：分省年度数据
指标：公路客运量(万人)
时间：最近10年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,52354,52481,132333,129918,126130,121373,117118,9275,2482,2261
天津市,14530,14556,24483,22054,21883,21090,20850,5253,3807,2961
河北省,51151,52956,97218,91857,83289,70579,66242,82648,77931,75402
山西省,27091,28487,33662,32866,32606,31122,31397,39632,38416,36456
内蒙古自治区,13494,16184,23310,21807,19830,17998,16207,35039,31817,28604
辽宁省,80789,78168,90650,86013,87699,81585,77510,59562,53317,49917
吉林省,27866,27403,66175,61830,58577,52723,50511,26506,24198,22870
黑龙江省,36379,35102,41551,39424,36001,32947,31379,54592,51023,46809
上海市,3754,3476,3748,3477,3634,2995,2934,2872,2784,2468
江苏省,137270,135555,255358,235673,215850,191001,174000,179206,153725,138287
浙江省,112915,121185,220517,218415,215708,188364,206110,179501,165441,152222
安徽省,131403,119433,206888,179440,153697,135984,124427,82247,74668,68927
福建省,48580,46895,75044,73259,70714,71586,68409,60088,55713,52452
江西省,59674,57915,77650,72527,70628,64770,60573,38644,38454,37253
山东省,62052,64019,254711,241457,240044,226134,205917,117309,103298,93178
河南省,128279,125450,197785,184213,158630,136279,122414,115460,101345,91920
湖北省,87803,80670,118369,104971,96873,88703,82532,77514,69335,66183
湖南省,150583,149015,174386,161980,148235,133359,124274,116780,112135,109728
广东省,157234,133305,556510,493618,442224,406704,462997,186835,175567,139158
广西壮族自治区,46623,45606,86449,79300,72208,65405,60645,57351,52609,48740
海南省,11042,10583,44374,43677,42785,39461,36578,39050,30044,25705
重庆市,63630,61243,152249,136142,122125,110150,102680,73316,58179,60588
四川省,126691,124145,266338,242615,230988,211288,196055,196871,184852,159450
贵州省,80231,77359,77172,66303,65452,59981,36019,70377,65786,61414
云南省,44502,43392,44839,41394,36230,32775,31157,42913,40861,38509
西藏自治区,1408,1326,3739,3659,8066,7759,6786,460,445,385
陕西省,66720,63650,105647,101062,87457,79033,70566,43555,38606,34780
甘肃省,36224,33556,61884,58355,51404,47755,43962,18510,17319,16247
青海省,4769,4140,12100,11308,10439,9603,8996,5214,4861,4525
宁夏回族自治区,8311,7568,15666,14440,12919,12034,11363,7752,7191,6757
新疆维吾尔自治区,34847,38640,36206,33166,30413,28541,31506,26348,24278,23225
注：1.从1979年起，公路运输包括社会车辆完成数量，从1984年起，还包括私营运输完成的数量(下表同)，从2008年起公路运输量统计范围原则上为营运车辆。水路运输量统计范围为在交通运输主管部门审批、备案、从事营业性旅客和货物运输生产的船舶。
　　　2.2008年公路、水路运输量统计口径有调整。
数据来源：国家统计局
