数据库：分省年度数据
指标：地方铁路客运量(万人)
时间：最近10年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,100,92,83,42,12,,2,,,
天津市,,,,,,,,,,
河北省,,,,,,,,,,
山西省,,,,,,,,,,
内蒙古自治区,,,,,,,,,,
辽宁省,21,21,26,24,25,26,30,18,18,19
吉林省,,,,,,,,,,
黑龙江省,132,163,182,171,164,153,145,131,111,83
上海市,,,,,,,,,,
江苏省,,,,,,,,,,
浙江省,,,,,,,,,,
安徽省,,,,,,,,,,
福建省,,,,,,,,,,
江西省,,,,,,,,,,
山东省,303,302,291,287,269,228,218,197,161,120
河南省,,,,4,7,12,76,68,95,47
湖北省,,,,,,,,,,
湖南省,,,,,,,,10,9,13
广东省,,,,,,,,,,4
广西壮族自治区,,,,,,,,,3,9
海南省,,,,,,,,,,
重庆市,,,,,,,,,,
四川省,,,,,,,,,,
贵州省,,,,,,,,,,
云南省,207,112,1,,,1,4,26,27,24
西藏自治区,,,,,,,,,,
陕西省,,,,,,,,,,
甘肃省,,,,,,,,,,
青海省,,,,,,,,,,
宁夏回族自治区,,,,,,,,,,
新疆维吾尔自治区,,,,,,,,,,
注：从2008年起，国家铁路和合资铁路客货运输量及周转量统计口径有调整，其中国家铁路包括了国家控股合资部分，合资铁路仅指非控股合资(以下各表同)。2010、2011年，合资铁路客运量统计口径和其他年份不一致。
数据来源：国家统计局
