数据库：分省年度数据
指标：公路货运量(万吨)
时间：最近10年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,25416,24651,24925,23276,20184,18753,18689,17872,30953,30050
天津市,31130,28206,27735,23505,20855,19800,18160,23500,20290,19850
河北省,185286,172492,195530,166680,135938,106530,91342,79822,73263,68652
山西省,88491,82834,73150,65201,60819,54786,66710,82084,78513,76201
内蒙古自治区,126704,97058,125260,103651,85162,70832,60941,73300,58978,51020
辽宁省,189174,172923,174355,151773,127361,105088,92938,90387,82142,74799
吉林省,41830,38063,47130,39308,33013,27032,23558,31573,28965,27441
黑龙江省,47173,45288,47465,44420,40582,36486,35424,51996,48389,44376
上海市,42848,43877,42911,42685,40890,37745,40328,35634,33799,32684
江苏省,114449,103709,153698,140803,123500,104002,95625,97474,84319,76301
浙江省,117070,107186,113393,108654,103394,95802,91625,98742,89342,81448
安徽省,315223,284534,259461,219467,183658,157991,140381,62065,54717,49614
福建省,82573,69876,59431,52558,45575,40317,38367,34829,29806,27579
江西省,137782,121279,113703,98358,88445,75200,70270,30032,27477,25025
山东省,230018,227746,296754,279380,264366,251587,216604,163959,136750,120455
河南省,179680,162040,251772,220122,183291,151343,118198,83537,69898,62684
湖北省,116279,100945,97136,82741,71020,59563,52759,39568,35361,33481
湖南省,172613,156269,166670,144241,127635,111351,98759,85432,72457,67040
广东省,257136,261273,189034,166567,140689,125433,101429,112611,97461,84861
广西壮族自治区,134330,124677,135112,113549,93552,75766,64884,34190,30525,27861
海南省,11015,10290,16600,15095,13947,10839,9489,10158,7981,6615
重庆市,81206,71842,71272,82818,69438,58532,54589,42011,36254,33378
四川省,142132,151689,158396,139771,121017,106472,103068,69163,63719,56594
贵州省,78017,65100,44892,36684,30834,27031,25272,18834,17284,15082
云南省,103161,98675,63239,54186,45665,40765,39119,65537,60614,56702
西藏自治区,1871,1778,1042,979,952,920,711,360,346,356
陕西省,119343,105566,104593,90419,77123,67963,60713,39736,35811,33282
甘肃省,50781,45072,39517,28790,24050,20812,18201,25325,23826,22520
青海省,11030,9588,9700,8952,7962,7173,6805,6278,5864,5491
宁夏回族自治区,34318,32502,32646,29016,25453,23263,21762,6583,6029,5648
新疆维吾尔自治区,64758,59620,51954,46451,41682,38657,40039,26840,25214,24688
注：2008年公路、水路运输量统计口径有调整。
数据来源：国家统计局
