数据库：分省年度数据
指标：公路货物周转量(亿吨公里)
时间：最近10年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,165.19,156.19,139.77,132.33,101.59,87.89,84.09,79.30,88.60,85.50
天津市,349.02,313.70,318.18,266.70,231.25,205.92,178.29,88.00,75.80,74.00
河北省,7019.56,6577.89,6133.47,5219.28,4011.24,2998.49,2548.01,843.20,748.90,691.50
山西省,1363.20,1278.57,1202.25,1047.12,969.89,906.35,1102.23,427.50,402.80,392.80
内蒙古自治区,2103.47,1872.71,3299.82,2737.61,2261.12,1885.25,1637.37,492.00,384.10,322.30
辽宁省,3074.90,2792.02,2675.44,2328.52,1930.34,1550.49,1354.24,568.10,474.70,415.50
吉林省,1190.78,1100.00,974.06,816.00,683.14,596.21,563.58,124.00,106.30,98.80
黑龙江省,1008.46,972.92,929.04,843.45,762.42,657.13,653.16,289.90,252.10,227.60
上海市,300.82,352.42,288.20,283.76,265.93,229.63,252.95,84.80,79.80,73.40
江苏省,1978.52,1790.40,1452.45,1315.27,1149.06,971.13,885.09,638.60,542.10,459.20
浙江省,1419.43,1322.13,1525.59,1434.82,1298.71,1188.70,1114.50,493.60,431.10,372.70
安徽省,7392.37,6544.02,7266.77,6123.22,5004.91,4237.19,3773.29,542.80,464.20,422.70
福建省,974.80,821.44,771.09,659.52,578.32,507.23,483.57,317.40,266.30,238.30
江西省,3073.31,2829.02,2559.78,2066.83,1850.20,1536.46,1494.16,240.60,224.20,186.50
山东省,5711.38,5494.78,7059.22,6624.35,6216.80,6045.02,5117.92,1069.30,845.10,711.80
河南省,4822.37,4488.01,6863.01,5949.04,4860.63,3927.08,2995.15,681.90,538.80,467.00
湖北省,2340.56,2046.28,1565.45,1277.71,1079.13,930.10,789.37,302.10,266.10,251.20
湖南省,2578.90,2329.54,2392.49,1878.57,1539.36,1259.65,1085.06,682.70,592.40,538.60
广东省,3113.84,3003.36,2434.95,2150.04,1735.40,1518.44,1225.30,906.80,742.70,646.50
广西壮族自治区,2068.51,1857.18,1878.29,1494.04,1173.45,934.70,799.96,320.10,286.80,258.40
海南省,81.50,75.42,109.35,97.14,90.82,79.39,66.38,85.40,66.60,55.90
重庆市,797.80,695.89,731.85,779.77,610.31,503.26,453.16,205.40,172.60,149.10
四川省,1510.51,1273.13,1325.19,1139.07,985.07,851.33,827.85,343.40,311.10,263.70
贵州省,776.95,610.64,464.56,350.09,286.72,241.60,230.36,128.00,114.50,94.20
云南省,1002.35,921.98,702.51,617.27,548.53,496.14,468.63,450.80,409.50,382.00
西藏自治区,85.96,81.46,27.87,27.10,26.56,25.40,28.79,37.50,36.60,40.70
陕西省,1917.45,1685.02,1744.65,1469.68,1195.91,1032.37,904.52,255.20,228.60,207.80
甘肃省,992.60,811.21,894.63,647.41,524.09,489.72,474.84,156.50,146.50,137.30
青海省,234.36,202.76,281.00,258.04,227.47,198.67,186.60,55.60,51.40,48.30
宁夏回族自治区,530.47,509.43,700.12,608.12,538.27,496.97,477.87,78.20,72.10,67.80
新疆维吾尔自治区,1037.32,928.54,823.81,732.87,653.03,600.87,611.87,366.20,331.90,312.40
注：2008年公路、水路运输量统计口径有调整。
数据来源：国家统计局
