数据库：分省年度数据
指标：公路营运载货汽车拥有量(万辆)
时间：最近10年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,20.30,18.63,16.36,14.32,12.63,14.41,12.15,10.91,14.28,12.39
天津市,17.13,15.98,11.46,10.01,7.62,7.29,7.25,7.37,5.97,6.77
河北省,137.96,131.48,99.99,90.45,77.73,62.66,51.52,42.93,36.65,37.68
山西省,51.63,48.89,40.93,39.32,37.46,35.69,32.23,22.11,19.66,18.71
内蒙古自治区,39.70,39.97,34.70,32.50,28.07,24.57,22.73,21.24,21.37,18.59
辽宁省,79.53,76.83,64.63,59.74,52.67,46.05,38.97,34.34,33.20,30.81
吉林省,34.47,31.51,30.72,27.06,23.80,20.05,17.47,14.69,13.18,12.32
黑龙江省,47.64,45.78,44.53,41.48,36.27,27.38,17.03,13.33,12.32,13.04
上海市,21.50,21.86,17.45,17.12,16.39,16.30,15.67,15.68,15.49,16.33
江苏省,74.66,72.78,61.56,58.91,52.02,43.03,35.32,32.45,32.23,32.43
浙江省,48.15,48.25,50.72,48.86,46.60,46.38,44.65,43.61,37.41,24.13
安徽省,68.96,66.12,60.93,51.35,43.60,36.79,31.45,26.87,24.13,22.22
福建省,27.75,25.62,23.63,21.90,20.76,18.55,16.15,16.21,14.55,12.83
江西省,38.46,38.59,30.31,27.09,23.62,19.01,16.06,13.78,11.89,11.01
山东省,102.77,110.54,101.62,100.72,87.60,67.08,56.44,50.49,48.28,48.18
河南省,118.59,109.65,94.85,88.88,78.83,71.80,47.87,41.76,35.39,30.79
湖北省,43.17,42.78,36.58,33.22,30.57,26.24,23.88,21.93,20.40,20.10
湖南省,40.16,41.77,38.98,36.36,36.01,34.86,30.03,22.99,20.30,17.36
广东省,79.94,94.19,86.27,93.90,86.05,79.44,73.37,78.74,79.76,80.76
广西壮族自治区,45.40,41.89,35.13,31.64,27.64,22.46,17.80,14.14,12.38,11.97
海南省,5.58,5.39,5.59,5.39,4.72,3.90,2.65,2.30,2.33,2.00
重庆市,27.03,25.62,23.31,26.01,24.44,20.87,17.24,17.08,17.64,15.23
四川省,57.60,55.46,56.56,54.88,50.32,42.81,35.46,32.33,28.77,28.69
贵州省,25.08,22.78,22.26,20.04,17.79,14.85,11.91,10.22,8.99,9.08
云南省,58.93,55.14,50.68,46.42,39.88,32.59,26.82,22.84,22.86,20.63
西藏自治区,4.17,3.55,2.85,2.33,1.81,1.53,1.36,1.94,2.28,2.07
陕西省,38.80,35.32,32.79,30.73,25.75,21.40,15.91,13.70,12.16,11.06
甘肃省,29.47,26.25,21.84,18.92,16.28,12.24,10.38,9.63,9.14,9.22
青海省,9.15,8.37,8.53,7.60,6.33,5.05,3.95,3.71,3.64,3.58
宁夏回族自治区,13.02,13.57,11.97,11.06,10.07,8.53,8.18,7.17,6.17,5.77
新疆维吾尔自治区,46.67,44.93,35.45,31.22,26.86,22.75,19.06,18.00,17.84,19.07
注：公路营运汽车拥有量在1999年为全国营运汽车，以前仅为公路部门营运汽车；2000-2004年为全国运输汽车(含营运和非营运汽车)；2005年起为全国营运。
数据来源：国家统计局
