数据库：分省年度数据
指标：城市投递路线(公里)
时间：最近10年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,52396,43076,50625,47252,,,,,,
天津市,18712,15899,15438,12180,,,,,,
河北省,76230,56743,62028,59745,,,,,,
山西省,39001,36458,35409,31406,,,,,,
内蒙古自治区,45163,41590,41462,36842,,,,,,
辽宁省,55995,53791,56642,51417,,,,,,
吉林省,31684,30973,30863,26981,,,,,,
黑龙江省,45715,44781,48425,33832,,,,,,
上海市,67501,61253,62958,59807,,,,,,
江苏省,99706,91543,91897,92399,,,,,,
浙江省,87395,79242,77715,74415,,,,,,
安徽省,49014,42612,45227,43521,,,,,,
福建省,36047,32268,33904,34808,,,,,,
江西省,31208,28815,28397,24276,,,,,,
山东省,98373,89901,95114,82097,,,,,,
河南省,71630,60285,59681,50364,,,,,,
湖北省,54472,52144,50903,58371,,,,,,
湖南省,63146,57001,53011,36151,,,,,,
广东省,127187,117367,123020,110601,,,,,,
广西壮族自治区,33325,27047,26772,27255,,,,,,
海南省,13936,12908,12767,8082,,,,,,
重庆市,25394,24440,24614,18886,,,,,,
四川省,48212,39691,51183,34710,,,,,,
贵州省,23184,20609,16073,11916,,,,,,
云南省,26614,23615,24378,20229,,,,,,
西藏自治区,5946,5175,4446,2898,,,,,,
陕西省,30540,28782,31547,31498,,,,,,
甘肃省,30813,27866,30355,16358,,,,,,
青海省,6122,4723,6544,4158,,,,,,
宁夏回族自治区,9949,6263,6949,3274,,,,,,
新疆维吾尔自治区,30503,25458,29328,25735,,,,,,
数据来源：国家统计局
