数据库：分省年度数据
指标：新注册民用小型载客汽车拥有量(万辆)
时间：最近10年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,44.47,53.56,53.68,35.07,81.26,61.14,42.07,38.67,32.77,30.71
天津市,18.12,37.91,30.61,29.00,26.50,21.17,16.04,13.48,11.14,10.52
河北省,130.13,113.32,98.89,86.30,10.10,58.27,28.13,4.23,24.54,31.42
山西省,51.09,50.62,47.53,41.22,35.31,28.06,23.36,16.42,13.90,12.65
内蒙古自治区,35.69,37.34,38.32,37.25,30.26,23.43,15.23,4.16,1.57,7.03
辽宁省,43.32,53.38,36.27,48.60,40.59,31.87,13.79,12.35,13.23,12.76
吉林省,33.84,29.64,27.00,24.84,23.85,19.25,6.42,8.94,7.92,6.64
黑龙江省,34.69,30.77,28.55,28.08,26.11,24.75,13.47,1.63,8.67,6.46
上海市,30.88,29.58,29.61,27.25,29.88,19.97,16.59,17.10,16.86,13.42
江苏省,164.47,142.83,124.67,115.74,105.38,75.81,48.52,47.63,40.50,31.12
浙江省,130.05,125.47,113.45,108.76,103.47,74.89,44.90,49.27,41.08,31.64
安徽省,63.65,55.34,46.07,39.38,34.17,24.64,15.19,11.14,8.59,6.37
福建省,52.00,45.98,38.61,34.80,30.83,23.52,16.63,16.17,12.37,9.24
江西省,41.64,36.32,29.96,26.13,23.59,18.75,9.48,6.41,6.34,4.65
山东省,172.90,156.52,142.84,117.10,111.09,97.32,55.26,47.15,43.76,31.28
河南省,126.25,105.64,85.27,64.73,67.83,51.76,29.22,24.52,16.88,15.29
湖北省,67.36,53.48,42.00,31.30,31.98,25.26,15.23,8.68,10.35,7.77
湖南省,65.30,57.70,47.87,39.93,35.78,26.79,10.87,7.56,6.97,5.82
广东省,174.50,138.69,117.65,116.27,109.02,80.86,66.39,69.36,56.05,43.96
广西壮族自治区,41.11,36.65,30.21,27.18,24.28,18.89,4.15,9.83,7.48,6.35
海南省,10.06,8.34,6.66,6.59,6.60,4.14,3.31,2.80,1.90,1.53
重庆市,47.55,35.76,29.12,24.35,20.89,15.26,9.60,7.86,6.11,4.84
四川省,102.01,83.06,69.77,64.41,64.63,52.82,24.01,3.60,17.89,13.23
贵州省,38.52,32.25,25.84,20.83,18.63,14.07,8.50,7.80,5.14,4.59
云南省,55.04,49.97,42.45,37.69,36.40,28.05,15.88,14.76,10.38,9.10
西藏自治区,2.69,1.84,1.31,1.15,1.32,0.96,0.83,0.36,0.81,0.39
陕西省,56.36,50.73,45.45,40.54,36.23,27.02,15.41,10.78,9.59,4.36
甘肃省,24.75,21.24,17.56,14.62,14.68,10.55,4.38,4.50,1.77,2.36
青海省,9.36,7.71,7.31,6.31,4.88,3.53,0.17,0.14,1.19,0.45
宁夏回族自治区,10.11,9.58,9.24,7.99,6.74,4.98,2.81,2.18,1.61,1.39
新疆维吾尔自治区,27.15,26.16,23.81,21.05,16.37,11.70,0.53,6.46,0.88,3.88
数据来源：国家统计局
