数据库：分省年度数据
指标：新注册民用微型载货汽车拥有量(万辆)
时间：最近10年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,,,,,,,,,0.00,
天津市,0.03,0.00,,0.00,0.00,0.02,0.01,0.00,0.03,0.01
河北省,0.00,0.00,0.00,0.02,0.01,0.08,0.07,0.01,0.24,1.05
山西省,0.00,0.00,0.01,0.01,0.02,0.04,0.16,0.04,0.17,0.19
内蒙古自治区,,0.00,0.00,0.02,0.02,0.01,0.04,0.02,0.01,0.74
辽宁省,0.00,0.00,0.00,0.01,0.01,0.01,0.02,0.06,0.05,0.09
吉林省,,,0.00,0.01,0.00,0.01,0.03,0.04,0.05,0.07
黑龙江省,,,0.00,0.01,0.01,0.01,0.04,0.01,0.06,0.08
上海市,,,,,,,0.00,0.00,0.01,0.02
江苏省,0.00,0.00,0.00,0.01,0.02,0.02,0.02,0.05,0.06,0.06
浙江省,0.03,0.01,0.03,0.07,0.30,0.30,0.19,0.22,0.20,0.63
安徽省,0.00,0.01,0.00,0.01,0.01,0.01,0.08,0.07,0.10,0.10
福建省,,0.00,0.00,0.00,0.07,0.13,0.07,0.06,0.09,0.20
江西省,,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.04,0.04
山东省,0.00,0.00,0.00,0.01,0.03,0.07,0.06,0.06,0.17,0.20
河南省,0.00,0.00,0.01,0.02,0.03,0.04,0.08,0.11,0.12,0.26
湖北省,0.00,,0.00,0.01,0.01,0.01,0.01,0.01,0.03,0.03
湖南省,,,0.01,0.02,0.01,0.02,0.01,0.01,0.02,0.09
广东省,0.11,0.28,0.35,0.45,0.78,0.37,0.20,0.20,0.23,0.29
广西壮族自治区,,,0.00,0.01,0.04,0.11,0.02,0.18,0.14,0.05
海南省,,0.00,,0.00,0.00,0.01,0.01,0.00,0.00,0.01
重庆市,,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.02
四川省,0.00,0.00,0.00,0.00,0.01,0.04,0.01,0.01,0.09,0.08
贵州省,0.00,0.00,,0.00,0.00,0.00,0.00,0.02,0.05,0.05
云南省,,,0.00,0.00,0.00,0.00,0.01,0.02,0.06,0.05
西藏自治区,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.03
陕西省,,0.00,0.00,0.01,0.01,0.02,0.02,0.04,0.04,0.04
甘肃省,,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.01,0.03
青海省,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.01
宁夏回族自治区,,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.03,0.04
新疆维吾尔自治区,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.06,0.01,0.06
数据来源：国家统计局
