数据库：分省年度数据
指标：新注册民用汽车拥有量(万辆)
时间：最近10年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,50.33,58.93,58.85,40.07,86.95,67.49,46.84,40.66,34.92,34.22
天津市,23.54,42.17,34.25,32.68,31.09,24.18,18.42,15.92,12.93,12.13
河北省,154.24,138.52,121.53,111.69,13.27,81.32,39.77,5.48,34.42,58.54
山西省,58.42,59.06,56.61,51.63,47.71,37.11,32.87,22.12,18.83,17.88
内蒙古自治区,40.45,43.33,45.46,46.36,39.85,29.75,21.45,5.90,2.40,11.30
辽宁省,50.17,63.42,44.78,60.99,54.58,42.50,18.65,16.88,18.01,17.97
吉林省,38.79,35.23,32.48,31.02,30.98,24.88,8.52,11.86,10.58,9.09
黑龙江省,39.31,37.39,35.58,36.72,36.31,33.66,18.10,2.41,11.74,9.12
上海市,37.20,34.99,33.00,31.11,34.57,22.50,18.60,20.07,20.52,16.97
江苏省,177.53,156.83,137.47,131.12,122.26,86.39,56.18,56.03,47.87,38.16
浙江省,147.49,140.95,127.70,124.49,122.47,88.09,53.28,58.51,50.00,40.28
安徽省,76.47,69.34,58.22,51.91,48.20,34.97,22.05,17.70,14.57,11.60
福建省,60.85,55.69,47.43,43.96,40.43,30.23,21.69,22.06,17.59,13.30
江西省,50.99,45.48,38.33,34.30,32.49,26.09,13.95,9.71,10.11,7.66
山东省,201.29,183.78,167.16,139.70,140.07,125.33,69.81,58.24,56.03,42.46
河南省,146.84,126.45,104.43,80.15,88.99,67.39,38.56,32.94,23.37,25.25
湖北省,77.44,64.34,51.50,38.88,42.85,34.58,22.78,11.67,14.66,11.59
湖南省,76.01,68.60,57.29,49.80,46.94,35.00,13.06,9.40,9.31,8.66
广东省,200.30,161.16,136.36,137.45,131.94,95.24,78.15,83.72,69.93,57.26
广西壮族自治区,48.40,44.59,37.91,34.83,32.88,26.01,5.77,15.17,11.23,9.35
海南省,11.78,10.14,8.44,8.77,8.90,5.59,4.44,3.64,2.47,2.14
重庆市,53.22,42.95,35.00,30.53,27.54,20.57,16.26,11.80,9.70,8.84
四川省,112.76,96.16,82.10,77.69,80.56,68.71,32.27,5.69,25.76,20.39
贵州省,47.35,40.98,33.06,27.43,25.25,19.75,12.55,11.29,7.64,7.34
云南省,65.45,60.96,52.89,48.54,48.49,36.70,22.97,21.33,15.10,14.94
西藏自治区,4.34,3.64,2.41,2.16,2.39,1.53,1.29,0.62,1.28,1.44
陕西省,63.75,59.50,53.78,49.60,47.42,35.37,21.18,15.22,12.77,6.83
甘肃省,31.30,28.44,23.63,20.52,22.04,15.64,6.18,6.71,3.78,4.09
青海省,11.64,10.10,9.36,8.51,7.05,5.12,0.22,0.19,1.74,0.73
宁夏回族自治区,13.20,13.10,12.66,11.56,10.24,7.26,4.45,3.37,2.52,2.67
新疆维吾尔自治区,34.37,34.74,32.82,30.08,24.13,17.02,0.72,9.57,1.25,6.42
数据来源：国家统计局
